Season,MatchDay,Team,HomeAway,Opponent,Scored,Conceded,XGoals,Passes,Accuracy,Shots,OnTarget,OffTarget,Possession,TacklesWon,Corners,Offsides,Fouls,Win
2020-2021,1,Bayern Munich,Home,Schalke,8,0,4.35,620,0.9,22,12,10,0.61,94,9,3,11,1
2020-2021,1,Schalke,Away,Bayern Munich,0,8,0.18,372,0.77,5,1,4,0.39,94,2,3,12,0
2020-2021,1,VfB Stuttgart,Home,Freiburg,2,3,2.03,551,0.84,23,7,16,0.59,102,7,1,12,0
2020-2021,1,Freiburg,Away,VfB Stuttgart,3,2,1.73,296,0.73,7,6,1,0.41,88,2,3,16,1
2020-2021,1,Werder Bremen,Home,Hertha Berlin,1,4,1.07,297,0.78,17,7,10,0.42,94,7,0,13,0
2020-2021,1,Hertha Berlin,Away,Werder Bremen,4,1,1.84,394,0.84,13,6,7,0.58,109,4,0,17,1
2020-2021,1,Cologne,Home,Hoffenheim,2,3,2.25,440,0.83,13,6,7,0.48,117,1,0,12,0
2020-2021,1,Hoffenheim,Away,Cologne,3,2,2.9,436,0.81,13,7,6,0.52,107,6,2,13,1
2020-2021,1,Union Berlin,Home,Augsburg,1,3,1.43,498,0.84,14,3,11,0.56,107,8,4,9,0
2020-2021,1,Augsburg,Away,Union Berlin,3,1,1.1,344,0.83,9,5,4,0.44,106,1,1,9,1
2020-2021,1,Eintracht Frankfurt,Home,Arminia Bielefeld,1,1,2.25,546,0.82,18,6,12,0.59,120,14,2,14,0
2020-2021,1,Arminia Bielefeld,Away,Eintracht Frankfurt,1,1,1.13,315,0.72,14,5,9,0.41,121,3,1,13,0
2020-2021,1,Borussia Dortmund,Home,Borussia Mönchengladbach,3,0,1.76,516,0.87,9,4,5,0.48,87,1,2,10,1
2020-2021,1,Borussia Mönchengladbach,Away,Borussia Dortmund,0,3,0.59,579,0.88,8,2,6,0.52,81,3,3,9,0
2020-2021,1,RB Leipzig,Home,Mainz,3,1,3.36,732,0.9,23,10,13,0.68,115,7,1,5,1
2020-2021,1,Mainz,Away,RB Leipzig,1,3,1.04,254,0.77,8,1,7,0.32,82,5,3,11,0
2020-2021,1,Wolfsburg,Home,Bayer Leverkusen,0,0,0.74,380,0.75,9,1,8,0.42,116,4,4,13,0
2020-2021,1,Bayer Leverkusen,Away,Wolfsburg,0,0,0.79,562,0.84,6,2,4,0.58,119,4,3,12,0
2020-2021,2,Hertha Berlin,Home,Eintracht Frankfurt,1,3,1.26,450,0.85,12,6,6,0.57,104,4,1,13,0
2020-2021,2,Eintracht Frankfurt,Away,Hertha Berlin,3,1,1.94,335,0.83,11,3,8,0.43,115,3,1,16,1
2020-2021,2,Bayer Leverkusen,Home,RB Leipzig,1,1,,568,0.84,11,4,7,0.58,106,4,6,16,0
2020-2021,2,RB Leipzig,Away,Bayer Leverkusen,1,1,,385,0.75,7,2,5,0.42,100,1,0,10,0
2020-2021,2,Mainz,Home,VfB Stuttgart,1,4,,418,0.81,11,3,8,0.51,114,3,1,10,0
2020-2021,2,VfB Stuttgart,Away,Mainz,4,1,,418,0.83,15,7,8,0.49,104,9,0,17,1
2020-2021,2,Borussia Mönchengladbach,Home,Union Berlin,1,1,1.84,632,0.85,14,5,9,0.6,106,7,4,11,0
2020-2021,2,Union Berlin,Away,Borussia Mönchengladbach,1,1,1.02,365,0.75,15,2,13,0.4,93,5,1,15,0
2020-2021,2,Augsburg,Home,Borussia Dortmund,2,0,0.92,186,0.69,6,4,2,0.29,100,3,3,7,1
2020-2021,2,Borussia Dortmund,Away,Augsburg,0,2,1.57,821,0.9,16,7,9,0.71,105,11,0,8,0
2020-2021,2,Arminia Bielefeld,Home,Cologne,1,0,0.29,400,0.85,7,3,4,0.5,112,4,1,12,1
2020-2021,2,Cologne,Away,Arminia Bielefeld,0,1,1.57,430,0.8,12,2,10,0.5,114,7,0,15,0
2020-2021,2,Schalke,Home,Werder Bremen,1,3,1.33,474,0.79,17,4,13,0.63,118,8,2,20,0
2020-2021,2,Werder Bremen,Away,Schalke,3,1,2.57,218,0.61,17,8,9,0.37,131,3,3,14,1
2020-2021,2,Hoffenheim,Home,Bayern Munich,4,1,,230,0.67,17,8,9,0.34,108,3,1,15,1
2020-2021,2,Bayern Munich,Away,Hoffenheim,1,4,,624,0.87,14,2,12,0.66,106,5,5,11,0
2020-2021,2,Freiburg,Home,Wolfsburg,1,1,1.86,400,0.82,21,7,14,0.52,120,9,3,10,0
2020-2021,2,Wolfsburg,Away,Freiburg,1,1,0.65,368,0.81,8,2,6,0.48,107,1,0,13,0
2020-2021,3,Union Berlin,Home,Mainz,4,0,,464,0.84,13,7,6,0.5,111,4,2,13,1
2020-2021,3,Mainz,Away,Union Berlin,0,4,,447,0.81,5,0,5,0.5,109,2,1,11,0
2020-2021,3,Werder Bremen,Home,Arminia Bielefeld,1,0,0.49,294,0.76,7,2,5,0.4,91,2,6,12,1
2020-2021,3,Arminia Bielefeld,Away,Werder Bremen,0,1,1.0,542,0.85,10,5,5,0.6,99,1,2,16,0
2020-2021,3,Cologne,Home,Borussia Mönchengladbach,1,3,,385,0.79,9,3,6,0.42,105,4,0,16,0
2020-2021,3,Borussia Mönchengladbach,Away,Cologne,3,1,,585,0.87,16,10,6,0.58,123,10,2,12,1
2020-2021,3,VfB Stuttgart,Home,Bayer Leverkusen,1,1,0.73,438,0.8,11,2,9,0.5,122,7,2,8,0
2020-2021,3,Bayer Leverkusen,Away,VfB Stuttgart,1,1,1.37,467,0.8,15,7,8,0.5,106,12,1,17,0
2020-2021,3,Eintracht Frankfurt,Home,Hoffenheim,2,1,3.15,472,0.8,16,8,8,0.5,121,5,9,12,1
2020-2021,3,Hoffenheim,Away,Eintracht Frankfurt,1,2,1.23,464,0.79,12,4,8,0.5,108,7,1,8,0
2020-2021,3,Borussia Dortmund,Home,Freiburg,4,0,2.24,763,0.9,16,7,9,0.63,109,3,1,8,1
2020-2021,3,Freiburg,Away,Borussia Dortmund,0,4,0.37,387,0.81,6,2,4,0.37,78,2,0,12,0
2020-2021,3,RB Leipzig,Home,Schalke,4,0,3.42,606,0.91,21,7,14,0.62,87,8,4,13,1
2020-2021,3,Schalke,Away,RB Leipzig,0,4,0.36,287,0.78,4,1,3,0.38,98,1,1,10,0
2020-2021,3,Wolfsburg,Home,Augsburg,0,0,1.44,608,0.85,17,6,11,0.61,125,12,3,7,0
2020-2021,3,Augsburg,Away,Wolfsburg,0,0,0.84,334,0.72,9,1,8,0.39,119,2,0,13,0
2020-2021,3,Bayern Munich,Home,Hertha Berlin,4,3,,576,0.87,22,9,13,0.62,113,6,2,13,1
2020-2021,3,Hertha Berlin,Away,Bayern Munich,3,4,,302,0.72,9,5,4,0.38,103,1,6,19,0
2020-2021,4,Hoffenheim,Home,Borussia Dortmund,0,1,,433,0.85,8,3,5,0.46,91,4,0,13,0
2020-2021,4,Borussia Dortmund,Away,Hoffenheim,1,0,,551,0.85,15,5,10,0.54,136,6,3,11,1
2020-2021,4,Augsburg,Home,RB Leipzig,0,2,0.57,283,0.72,6,2,4,0.37,117,5,5,9,0
2020-2021,4,RB Leipzig,Away,Augsburg,2,0,1.76,623,0.85,15,6,9,0.63,122,8,1,13,1
2020-2021,4,Mainz,Home,Bayer Leverkusen,0,1,0.39,364,0.79,5,0,5,0.41,97,6,5,12,0
2020-2021,4,Bayer Leverkusen,Away,Mainz,1,0,0.52,581,0.87,9,4,5,0.59,93,2,4,6,1
2020-2021,4,Hertha Berlin,Home,VfB Stuttgart,0,2,1.1,546,0.85,16,4,12,0.62,128,6,1,14,0
2020-2021,4,VfB Stuttgart,Away,Hertha Berlin,2,0,1.3,286,0.72,7,2,5,0.38,111,4,1,10,1
2020-2021,4,Freiburg,Home,Werder Bremen,1,1,,519,0.86,19,4,15,0.6,122,4,2,10,0
2020-2021,4,Werder Bremen,Away,Freiburg,1,1,,299,0.8,14,4,10,0.4,98,4,1,14,0
2020-2021,4,Arminia Bielefeld,Home,Bayern Munich,1,4,,354,0.8,11,5,6,0.38,76,6,2,6,0
2020-2021,4,Bayern Munich,Away,Arminia Bielefeld,4,1,,675,0.9,16,10,6,0.62,87,10,2,6,1
2020-2021,4,Borussia Mönchengladbach,Home,Wolfsburg,1,1,1.55,400,0.79,13,2,11,0.48,109,5,2,14,0
